message,messageid
"
Hi all,
Please suggest a few good schools in and near Indirapuram. My 
daughter is 3+ and i am interested in schools which do not overburden 
small kids with lot of academic work.
Could you please rate these schools on the above mentioned criteria :
DPS Indirapuram
Amity Vasundhara sec 1 & 6
Father Agnel, Noida
St. Francis, Vasundhara
Cambridge, Indirapuram

Thanks!!",2
"
Gargi
See this
http://www.admissionsnursery.com/forum/topics/nursery-admissions-in...",3
"
thanks a lot Sakshi !
Please give some idea about what we need to keep handy before filling any online form.
Tnx in advance :)",4
"
Pls see
http://www.admissionsnursery.com/page/documents-required-1",5
"
Hi Sakshi,
Need your help!! can you please tell me what is the difference between Amity International, Vasundhara Sec 1 & Sec 6.
Need to know which branch is better for Nursery admissions as we can apply only in one branch.
Thanks in advance :) and also thanks for keeping us updated :)
Gargi",6
"
Gargi
Sec 6 old established n sought after > Sec 1(vacancies open round the year )",7
"
hello frnz. I have just got a call from NIBS for admission. I just wanted to inquire if anyone has enrolled their ward there.If so, how much they are taking at the time of enrollment.And what is the fee structure bifurcation they are following on monthly/quarterly basis?",8
,9
"
mailed",10
,11
"
thanx for your inputs. breakup i also dont have.",12
"
They charge on half yearly basis and total fee for complete year is 180,000. It is amongst best school in dwarka so if u can afford go for it without any doubt.",13
"
thanx sir",14
"
congrats :)",15
"
Last year first quarter(apr-jun) breakup:admission fee: 200security deposit: 500Annual charges: 16,250 (total:32,500)development fee:3825 (total 3825 x 4=15,300)student Insurance:250PTA fee:150Computer Fee:600Tuition Fee:25,500Transport charges: 6600
",16
,17
"
@Guneet If you are referring to the circular which says that carry 9000 /- we too have got the same..... Its the approx and max amount .....last year I paid Rs. 2900 /- for books/stationery and Rs. 1400 /- for the uniform (2 shorts 2 t shirts and 3 pair of socks).... shoes we have bought from outsideLast year we were asked to carry 8000/- but total came 4400/- :)",18
"
I am still carrying stationary and uniform receipts ...If you wish can mail you for reference :)  ",19
"
@Madhavi,
This year the stationary cost for Nursery was 3150 and i spend 2850 on uniform 3 sets of shirt, shorts & socks and 1 pair of shoes. So its 6K for now. We also need to buy pants in July for Dengue season, kids are supposed to wear pants instead of shorts. Winter uniform has to be purchased again. So i guess the entire year total will be around 9-10K ",20
"
hello frnz. I have just got a call from NIBS for admission. I just wanted to inquire if anyone has enrolled their ward there.If so, how much they are taking at the time of enrollment.And what is the fee structure bifurcation they are following on monthly/quarterly basis?",21
"
very true deepti...moreover, i feel that NIBS is pretending to be really costlier than last year. Though Its a good school i have surveyed but infra wise some issues are there like very small ground and unfavorable location..hope the fee hike is justified for us later...
",22
,23
"
Its ok I can understand...If you need any help from my end please feel free to contact.",24
,25
"
@Guneet No idea why it has been postponed :(....
Nibs has different orientation sessions for New parents and Class Orientation 
Last year they had orientation 4 to 5 days after the school reopens and teachers by that time had time to meet the kids and they had answered all our queries related to our kids and class. Actually I was surprised when i saw that they are doing orientation earlier this time but I think it's a good decision that they have postponed it.",26
,27
"
@ HK Summer Holidays is for 45 days but in maximum cases they prepone the date because of severe weather conditions.",28
"
Hello frnz.. just wanted to have suggestion if we all parents on the orientation day can advice school to have 1 fruit break (may be at 9) in addition to the break at 10:30 as these tiny tots are not able to eat properly in the early morning time . Moreover, this way they can get the habit of eating this healthy which is also easily digestible snack daily by their own. wat are your views abt this??  (coz if we all can say then may be the school can think of implementing the same.) as most of the schools do have the same.",29
,30
"
Hello everyone,
My son is in Ankur Malhaar and he enjoyed a lot on his first day in school. Is anyone taking bus route no. 3 in the morning?",31
