cmsgid,pmsgid
3,2
4,3
5,4
6,5
7,6
9,8
10,9
11,9
12,8
13,12
14,12
15,14
16,15
17,12
18,12
19,18
20,18
21,12
22,12
23,22
24,8
25,24
26,25
27,25
28,25
29,24
30,24
31,24
32,31
33,24
34,24
35,8
36,35
37,35
38,35
39,38
40,39
41,40
42,40
43,42
44,43
45,44
46,45
47,35
48,47
49,47
50,35
51,8
52,51
53,52
54,51
55,54
56,8
57,56
58,57
59,58
60,59
61,60
62,56
63,62
64,63
65,64
66,65
67,65
68,56
69,68
70,69
71,70
72,71
73,72
74,70
75,68
76,75
77,8
78,8
79,8
80,79
81,79
82,8
83,82
84,8
85,8
86,85
87,8
88,87
89,88
90,8
91,8
92,8
93,92
94,8
95,94
96,94
97,94
98,94
99,8
100,99
102,101
103,102
104,102
105,101
106,101
107,106
108,107
109,107
110,109
111,106
112,106
113,112
114,101
115,114
116,115
117,116
118,117
119,101
120,119
121,101
122,101
123,122
124,122
125,101
126,101
127,101
128,101
129,128
130,129
131,130
132,129
133,101
134,133
135,134
136,135
137,101
138,137
139,138
140,139
141,140
142,137
143,101
144,143
145,144
146,145
147,146
148,143
149,146
150,145
151,150
152,143
153,143
154,145
155,143
156,143
157,156
158,143
159,101
160,159
161,101
162,101
163,162
164,101
165,101
166,165
167,166
168,167
169,101
170,166
171,170
172,151
173,151
174,169
175,174
176,175
177,169
178,177
179,177
180,101
181,180
182,101
183,182
184,183
185,184
186,101
187,101
188,101
189,188
190,189
191,190
192,101
193,192
194,101
195,194
196,195
197,196
198,197
199,198
200,199
201,200
202,201
203,201
204,198
205,204
206,101
207,206
208,207
209,208
210,101
211,101
212,101
213,212
214,213
215,214
216,101
217,216
218,217
219,218
220,219
221,220
222,221
223,222
224,223
225,223
226,220
227,101
228,227
229,228
230,229
231,230
232,231
233,227
234,233
235,101
236,235
237,101
238,237
239,101
240,101
241,240
242,101
243,242
244,101
245,244
246,101
247,246
248,247
249,246
250,249
251,101
252,101
253,101
254,101
255,101
256,255
257,256
258,255
259,101
260,101
261,101
262,261
263,101
264,263
265,264
266,265
268,267
269,268
270,267
271,270
272,267
273,272
275,267
276,267
277,276
278,277
279,277
280,279
281,267
282,281
283,267
284,283
285,267
286,285
287,267
288,267
289,288
290,288
291,288
292,291
293,267
294,293
295,267
296,267
297,267
298,297
299,298
300,299
301,300
302,301
303,267
304,303
305,304
306,267
307,267
308,267
309,308
310,309
311,267
